GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06
Id,Id2,Geography,Total; Estimate; Population for whom poverty status is determined,Total; Margin of Error; Population for whom poverty status is determined,Below poverty level; Estimate; Population for whom poverty status is determined,Below poverty level; Margin of Error; Population for whom poverty status is determined,Percent below poverty level; Estimate; Population for whom poverty status is determined,Percent below poverty level; Margin of Error; Population for whom poverty status is determined,Total; Estimate; AGE - Under 18 years,Total; Margin of Error; AGE - Under 18 years,Below poverty level; Estimate; AGE - Under 18 years,Below poverty level; Margin of Error; AGE - Under 18 years,Percent below poverty level; Estimate; AGE - Under 18 years,Percent below poverty level; Margin of Error; AGE - Under 18 years,Total; Estimate; AGE - 18 to 64 years,Total; Margin of Error; AGE - 18 to 64 years,Below poverty level; Estimate; AGE - 18 to 64 years,Below poverty level; Margin of Error; AGE - 18 to 64 years,Percent below poverty level; Estimate; AGE - 18 to 64 years,Percent below poverty level; Margin of Error; AGE - 18 to 64 years,Total; Estimate; AGE - 65 years and over,Total; Margin of Error; AGE - 65 years and over,Below poverty level; Estimate; AGE - 65 years and over,Below poverty level; Margin of Error; AGE - 65 years and over,Percent below poverty level; Estimate; AGE - 65 years and over,Percent below poverty level; Margin of Error; AGE - 65 years and over
9700000US4200824,4200824,"Central Valley School District, Pennsylvania",17905,151,1810,425,10.1,2.4,3615,294,516,210,14.3,5.4,10951,333,1011,319,9.2,2.9,3339,218,283,100,8.5,2.9
9700000US4202010,4202010,"Abington Heights School District, Pennsylvania",22594,497,822,212,3.6,0.9,5467,397,177,86,3.2,1.6,13414,372,485,125,3.6,0.9,3713,314,160,75,4.3,2.0
9700000US4202040,4202040,"Abington School District, Pennsylvania",57092,187,3652,561,6.4,1.0,12423,402,830,252,6.7,2.0,35195,462,2135,354,6.1,1.0,9474,366,687,158,7.3,1.7
9700000US4202100,4202100,"Albert Gallatin Area School District, Pennsylvania",23273,414,5368,799,23.1,3.4,4889,361,1772,389,36.2,7.1,14497,469,3120,534,21.5,3.5,3887,302,476,143,12.2,3.4
9700000US4202130,4202130,"Aliquippa School District, Pennsylvania",9267,113,1973,444,21.3,4.8,2031,239,588,235,29.0,10.8,5446,257,1097,228,20.1,4.3,1790,193,288,110,16.1,5.8
9700000US4202190,4202190,"Allegheny Valley School District, Pennsylvania",9513,166,854,247,9.0,2.6,1525,130,259,124,17.0,7.8,5775,160,435,133,7.5,2.3,2213,116,160,62,7.2,2.8
9700000US4202280,4202280,"Allentown City School District, Pennsylvania",113031,473,31479,2251,27.8,2.0,31079,704,13288,1294,42.8,3.9,68964,748,16760,1179,24.3,1.7,12988,475,1431,282,11.0,2.1
9700000US4202310,4202310,"Allegheny-Clarion Valley School District, Pennsylvania",5550,280,699,109,12.6,2.1,1121,140,214,65,19.1,5.9,3372,176,373,63,11.1,2.0,1057,98,112,42,10.6,3.9
9700000US4202340,4202340,"Altoona Area School District, Pennsylvania",57942,379,10653,959,18.4,1.6,12501,418,3254,569,26.0,4.1,35732,450,6550,563,18.3,1.6,9709,316,849,154,8.7,1.6
9700000US4202400,4202400,"Wissahickon School District, Pennsylvania",36096,226,1631,401,4.5,1.1,7717,320,273,137,3.5,1.8,21541,432,828,262,3.8,1.2,6838,385,530,137,7.8,2.0
9700000US4202440,4202440,"Ambridge Area School District, Pennsylvania",23616,159,4015,673,17.0,2.8,4676,264,1468,402,31.4,7.7,14806,290,2251,376,15.2,2.6,4134,240,296,96,7.2,2.2
9700000US4202480,4202480,"Antietam School District, Pennsylvania",7590,39,1172,345,15.4,4.5,1815,172,458,205,25.2,10.2,4781,159,644,177,13.5,3.8,994,121,70,37,7.0,3.6
9700000US4202490,4202490,"Annville-Cleona School District, Pennsylvania",10859,326,836,232,7.7,2.2,2311,159,191,80,8.3,3.5,6835,274,562,198,8.2,2.8,1713,122,83,41,4.8,2.4
9700000US4202550,4202550,"Apollo-Ridge School District, Pennsylvania",9473,235,1289,274,13.6,2.9,2019,196,417,144,20.7,7.0,5900,241,724,157,12.3,2.6,1554,189,148,72,9.5,4.6
9700000US4202590,4202590,"Armstrong School District, Pennsylvania",42564,387,6082,544,14.3,1.3,8642,297,1934,275,22.4,3.2,25901,322,3406,366,13.2,1.4,8021,231,742,177,9.3,2.2
9700000US4202670,4202670,"Athens Area School District, Pennsylvania",14057,310,1964,473,14.0,3.3,2990,242,511,198,17.1,6.5,8576,279,1197,328,14.0,3.8,2491,186,256,65,10.3,2.5
9700000US4202700,4202700,"Austin Area School District, Pennsylvania",1116,87,165,44,14.8,3.8,230,42,48,19,20.9,8.1,633,62,85,28,13.4,4.1,253,35,32,18,12.6,7.1
9700000US4202760,4202760,"Avella Area School District, Pennsylvania",4165,173,388,137,9.3,3.2,826,86,129,75,15.6,8.8,2663,103,218,69,8.2,2.5,676,52,41,18,6.1,2.7
9700000US4202790,4202790,"Avon Grove School District, Pennsylvania",30889,394,1290,334,4.2,1.1,9053,373,416,174,4.6,1.9,18412,348,650,182,3.5,1.0,3424,239,224,104,6.5,3.0
9700000US4202820,4202820,"Avonworth School District, Pennsylvania",10324,211,379,152,3.7,1.5,2427,144,40,27,1.6,1.1,6805,174,286,138,4.2,2.0,1092,94,53,33,4.9,3.0
9700000US4202850,4202850,"Pine-Richland School District, Pennsylvania",22743,85,785,399,3.5,1.8,6406,254,246,251,3.8,3.9,13794,247,391,174,2.8,1.3,2543,169,148,100,5.8,3.8
9700000US4202910,4202910,"Bald Eagle Area School District, Pennsylvania",13463,363,1328,266,9.9,1.9,2829,184,399,139,14.1,4.6,8711,255,827,156,9.5,1.7,1923,136,102,29,5.3,1.5
9700000US4202970,4202970,"Baldwin-Whitehall School District, Pennsylvania",35387,120,3307,684,9.3,1.9,6952,400,1232,399,17.7,5.1,21393,338,1582,375,7.4,1.8,7042,300,493,145,7.0,2.0
9700000US4203000,4203000,"Bangor Area School District, Pennsylvania",22774,370,1513,427,6.6,1.9,4772,339,474,206,9.9,4.2,14106,369,875,264,6.2,1.8,3896,309,164,66,4.2,1.7
9700000US4203120,4203120,"Beaver Area School District, Pennsylvania",14346,155,647,178,4.5,1.2,3004,221,151,85,5.0,2.8,8070,206,321,94,4.0,1.2,3272,176,175,65,5.3,2.0
9700000US4203180,4203180,"Bedford Area School District, Pennsylvania",16009,328,1906,396,11.9,2.5,3251,233,468,214,14.4,6.3,9370,250,1084,217,11.6,2.3,3388,139,354,94,10.4,2.7
9700000US4203210,4203210,"Belle Vernon Area School District, Pennsylvania",18586,293,2000,404,10.8,2.2,3475,285,571,192,16.4,5.4,11365,386,1242,297,10.9,2.6,3746,323,187,67,5.0,1.8
9700000US4203240,4203240,"Bellefonte Area School District, Pennsylvania",23513,326,2403,558,10.2,2.4,4974,244,786,282,15.8,5.6,14994,308,1274,370,8.5,2.5,3545,300,343,134,9.7,3.6
9700000US4203300,4203300,"Bellwood-Antis School District, Pennsylvania",8339,143,750,291,9.0,3.5,1964,238,248,140,12.6,7.1,5148,244,423,180,8.2,3.5,1227,194,79,53,6.4,4.2
9700000US4203330,4203330,"Bensalem Township School District, Pennsylvania",60250,145,3876,615,6.4,1.0,12361,569,1275,319,10.3,2.5,39472,469,2095,345,5.3,0.9,8417,418,506,152,6.0,1.8
9700000US4203360,4203360,"Bentworth School District, Pennsylvania",8235,241,1126,198,13.7,2.4,1762,149,387,122,22.0,6.4,4971,229,663,122,13.3,2.4,1502,122,76,31,5.1,2.0
9700000US4203390,4203390,"Benton Area School District, Pennsylvania",4934,231,520,134,10.5,2.6,925,131,182,77,19.7,7.3,3030,147,280,77,9.2,2.5,979,71,58,19,5.9,2.0
9700000US4203420,4203420,"Berlin Brothersvalley School District, Pennsylvania",5299,217,571,131,10.8,2.4,1077,92,240,77,22.3,7.2,3220,152,237,63,7.4,1.9,1002,72,94,47,9.4,4.6
9700000US4203450,4203450,"Bermudian Springs School District, Pennsylvania",12993,276,904,227,7.0,1.7,2932,174,261,98,8.9,3.3,8296,260,503,133,6.1,1.6,1765,148,140,118,7.9,6.4
9700000US4203480,4203480,"Berwick Area School District, Pennsylvania",22017,368,2783,597,12.6,2.7,4438,271,735,239,16.6,5.1,13474,377,1691,439,12.6,3.3,4105,253,357,118,8.7,2.8
9700000US4203510,4203510,"Bethel Park School District, Pennsylvania",32731,198,1127,349,3.4,1.1,6822,312,312,194,4.6,2.8,19550,310,467,159,2.4,0.8,6359,266,348,121,5.5,1.9
9700000US4203570,4203570,"Bethlehem Area School District, Pennsylvania",110301,565,15590,1137,14.1,1.0,23280,618,4781,620,20.5,2.4,69077,719,9628,782,13.9,1.1,17944,481,1181,244,6.6,1.3
9700000US4203600,4203600,"Bethlehem-Center School District, Pennsylvania",8694,300,1131,249,13.0,2.8,1767,209,367,119,20.8,6.7,5439,281,678,155,12.5,2.9,1488,135,86,36,5.8,2.3
9700000US4203630,4203630,"Big Beaver Falls Area School District, Pennsylvania",12418,319,2854,417,23.0,3.2,2510,282,1050,275,41.8,8.8,7717,311,1606,278,20.8,3.3,2191,203,198,67,9.0,3.0
9700000US4203660,4203660,"Big Spring School District, Pennsylvania",20727,298,1942,336,9.4,1.6,4610,224,745,190,16.2,3.9,13223,274,1008,191,7.6,1.4,2894,181,189,49,6.5,1.7
9700000US4203688,4203688,"Blackhawk School District, Pennsylvania",17786,249,1359,266,7.6,1.5,3616,202,345,132,9.5,3.6,10668,302,807,173,7.6,1.7,3502,268,207,119,5.9,3.4
9700000US4203690,4203690,"Blacklick Valley School District, Pennsylvania",5369,213,762,265,14.2,4.8,1168,174,330,165,28.3,11.5,3216,185,346,111,10.8,3.5,985,131,86,45,8.7,4.5
