GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Households receiving food stamps; Estimate; Households,Households receiving food stamps; Margin of Error; Households,Households not receiving food stamps; Estimate; Households,Households not receiving food stamps; Margin of Error; Households
9700000US4200824,4200824,"Central Valley School District, Pennsylvania",7366,229,697,135,6669,264
9700000US4202010,4202010,"Abington Heights School District, Pennsylvania",9099,279,245,78,8854,288
9700000US4202040,4202040,"Abington School District, Pennsylvania",22049,361,1008,168,21041,412
9700000US4202100,4202100,"Albert Gallatin Area School District, Pennsylvania",9083,365,1845,249,7238,393
9700000US4202130,4202130,"Aliquippa School District, Pennsylvania",4189,186,1136,183,3053,244
9700000US4202190,4202190,"Allegheny Valley School District, Pennsylvania",4544,144,453,89,4091,159
9700000US4202280,4202280,"Allentown City School District, Pennsylvania",41823,793,10719,588,31104,811
9700000US4202310,4202310,"Allegheny-Clarion Valley School District, Pennsylvania",2357,102,301,59,2056,95
9700000US4202340,4202340,"Altoona Area School District, Pennsylvania",24211,451,5007,335,19204,498
9700000US4202400,4202400,"Wissahickon School District, Pennsylvania",14558,315,298,100,14260,334
9700000US4202440,4202440,"Ambridge Area School District, Pennsylvania",10264,289,1469,197,8795,330
9700000US4202480,4202480,"Antietam School District, Pennsylvania",3059,122,287,101,2772,174
9700000US4202490,4202490,"Annville-Cleona School District, Pennsylvania",4316,166,270,82,4046,178
9700000US4202550,4202550,"Apollo-Ridge School District, Pennsylvania",3983,150,585,109,3398,186
9700000US4202590,4202590,"Armstrong School District, Pennsylvania",17741,317,2499,232,15242,329
9700000US4202670,4202670,"Athens Area School District, Pennsylvania",5602,182,632,137,4970,222
9700000US4202700,4202700,"Austin Area School District, Pennsylvania",476,38,47,16,429,39
9700000US4202760,4202760,"Avella Area School District, Pennsylvania",1604,68,142,37,1462,69
9700000US4202790,4202790,"Avon Grove School District, Pennsylvania",10362,259,237,80,10125,255
9700000US4202820,4202820,"Avonworth School District, Pennsylvania",4137,130,160,71,3977,149
9700000US4202850,4202850,"Pine-Richland School District, Pennsylvania",7977,236,116,64,7861,243
9700000US4202910,4202910,"Bald Eagle Area School District, Pennsylvania",5297,188,413,73,4884,182
9700000US4202970,4202970,"Baldwin-Whitehall School District, Pennsylvania",15432,294,1253,279,14179,436
9700000US4203000,4203000,"Bangor Area School District, Pennsylvania",8924,286,543,159,8381,331
9700000US4203120,4203120,"Beaver Area School District, Pennsylvania",6236,181,364,77,5872,198
9700000US4203180,4203180,"Bedford Area School District, Pennsylvania",6937,165,943,141,5994,208
9700000US4203210,4203210,"Belle Vernon Area School District, Pennsylvania",7607,241,1046,218,6561,287
9700000US4203240,4203240,"Bellefonte Area School District, Pennsylvania",9861,287,931,174,8930,306
9700000US4203300,4203300,"Bellwood-Antis School District, Pennsylvania",3264,171,387,127,2877,198
9700000US4203330,4203330,"Bensalem Township School District, Pennsylvania",23186,486,1849,255,21337,562
9700000US4203360,4203360,"Bentworth School District, Pennsylvania",3430,124,536,88,2894,130
9700000US4203390,4203390,"Benton Area School District, Pennsylvania",2042,90,163,36,1879,95
9700000US4203420,4203420,"Berlin Brothersvalley School District, Pennsylvania",2176,81,259,57,1917,86
9700000US4203450,4203450,"Bermudian Springs School District, Pennsylvania",4929,156,296,78,4633,175
9700000US4203480,4203480,"Berwick Area School District, Pennsylvania",9364,287,1076,194,8288,355
9700000US4203510,4203510,"Bethel Park School District, Pennsylvania",13403,272,480,134,12923,322
9700000US4203570,4203570,"Bethlehem Area School District, Pennsylvania",45173,618,5670,362,39503,639
9700000US4203600,4203600,"Bethlehem-Center School District, Pennsylvania",3529,181,524,116,3005,171
9700000US4203630,4203630,"Big Beaver Falls Area School District, Pennsylvania",5388,231,1253,179,4135,237
9700000US4203660,4203660,"Big Spring School District, Pennsylvania",8173,238,478,110,7695,209
9700000US4203688,4203688,"Blackhawk School District, Pennsylvania",7302,221,564,118,6738,237
9700000US4203690,4203690,"Blacklick Valley School District, Pennsylvania",2217,99,309,85,1908,113
9700000US4203750,4203750,"Blairsville-Saltsburg School District, Pennsylvania",5664,185,529,99,5135,207
9700000US4203840,4203840,"Bloomsburg Area School District, Pennsylvania",6990,334,706,155,6284,344
9700000US4203870,4203870,"Blue Mountain School District, Pennsylvania",8396,245,456,98,7940,247
9700000US4203900,4203900,"Blue Ridge School District, Pennsylvania",3222,107,374,74,2848,122
9700000US4203960,4203960,"Boyertown Area School District, Pennsylvania",17513,333,684,160,16829,353
9700000US4204020,4204020,"Bradford Area School District, Pennsylvania",8094,230,1349,169,6745,258
9700000US4204050,4204050,"Brandywine Heights Area School District, Pennsylvania",5158,200,207,84,4951,221
9700000US4204080,4204080,"Brownsville Area School District, Pennsylvania",5579,293,1295,190,4284,312
9700000US4204090,4204090,"Bryn Athyn School District, Pennsylvania",454,38,11,9,443,41
9700000US4204140,4204140,"Brentwood Borough School District, Pennsylvania",4441,165,574,148,3867,232
9700000US4204200,4204200,"Bristol Borough School District, Pennsylvania",3842,221,614,143,3228,251
