GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households
9700000US4200824,4200824,"Central Valley School District, Pennsylvania",7366,229,59857,4394
9700000US4202010,4202010,"Abington Heights School District, Pennsylvania",9099,279,72695,2680
9700000US4202040,4202040,"Abington School District, Pennsylvania",22049,361,74527,2805
9700000US4202100,4202100,"Albert Gallatin Area School District, Pennsylvania",9083,365,37407,2754
9700000US4202130,4202130,"Aliquippa School District, Pennsylvania",4189,186,34170,3682
9700000US4202190,4202190,"Allegheny Valley School District, Pennsylvania",4544,144,49534,4632
9700000US4202280,4202280,"Allentown City School District, Pennsylvania",41823,793,35560,1578
9700000US4202310,4202310,"Allegheny-Clarion Valley School District, Pennsylvania",2357,102,45128,3415
9700000US4202340,4202340,"Altoona Area School District, Pennsylvania",24211,451,38145,1312
9700000US4202400,4202400,"Wissahickon School District, Pennsylvania",14558,315,95865,4385
9700000US4202440,4202440,"Ambridge Area School District, Pennsylvania",10264,289,47521,2753
9700000US4202480,4202480,"Antietam School District, Pennsylvania",3059,122,49857,4213
9700000US4202490,4202490,"Annville-Cleona School District, Pennsylvania",4316,166,54973,2623
9700000US4202550,4202550,"Apollo-Ridge School District, Pennsylvania",3983,150,44583,3816
9700000US4202590,4202590,"Armstrong School District, Pennsylvania",17741,317,44224,1657
9700000US4202670,4202670,"Athens Area School District, Pennsylvania",5602,182,49407,5864
9700000US4202700,4202700,"Austin Area School District, Pennsylvania",476,38,36250,3197
9700000US4202760,4202760,"Avella Area School District, Pennsylvania",1604,68,57267,3004
9700000US4202790,4202790,"Avon Grove School District, Pennsylvania",10362,259,91694,5039
9700000US4202820,4202820,"Avonworth School District, Pennsylvania",4137,130,82966,5606
9700000US4202850,4202850,"Pine-Richland School District, Pennsylvania",7977,236,109170,5620
9700000US4202910,4202910,"Bald Eagle Area School District, Pennsylvania",5297,188,53091,3432
9700000US4202970,4202970,"Baldwin-Whitehall School District, Pennsylvania",15432,294,52285,1816
9700000US4203000,4203000,"Bangor Area School District, Pennsylvania",8924,286,58111,2855
9700000US4203120,4203120,"Beaver Area School District, Pennsylvania",6236,181,54500,3748
9700000US4203180,4203180,"Bedford Area School District, Pennsylvania",6937,165,43002,2796
9700000US4203210,4203210,"Belle Vernon Area School District, Pennsylvania",7607,241,51098,3565
9700000US4203240,4203240,"Bellefonte Area School District, Pennsylvania",9861,287,53375,2232
9700000US4203300,4203300,"Bellwood-Antis School District, Pennsylvania",3264,171,58026,4795
9700000US4203330,4203330,"Bensalem Township School District, Pennsylvania",23186,486,59982,2578
9700000US4203360,4203360,"Bentworth School District, Pennsylvania",3430,124,48255,3821
9700000US4203390,4203390,"Benton Area School District, Pennsylvania",2042,90,46543,3438
9700000US4203420,4203420,"Berlin Brothersvalley School District, Pennsylvania",2176,81,42056,3920
9700000US4203450,4203450,"Bermudian Springs School District, Pennsylvania",4929,156,59753,3371
9700000US4203480,4203480,"Berwick Area School District, Pennsylvania",9364,287,42355,2904
