GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD05,HD02_VD05,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:
9700000US4200824,4200824,"Central Valley School District, Pennsylvania",18110,130,17075,346,698,304,76,42,260,182
9700000US4202010,4202010,"Abington Heights School District, Pennsylvania",23415,457,22422,536,117,80,582,197,231,128
9700000US4202040,4202040,"Abington School District, Pennsylvania",57980,58,46360,875,7160,681,2894,498,1171,332
9700000US4202100,4202100,"Albert Gallatin Area School District, Pennsylvania",23531,449,22399,550,606,251,0,19,439,180
9700000US4202130,4202130,"Aliquippa School District, Pennsylvania",9415,34,5271,313,3791,317,48,57,298,138
9700000US4202190,4202190,"Allegheny Valley School District, Pennsylvania",9709,134,9427,177,61,31,80,72,115,92
9700000US4202280,4202280,"Allentown City School District, Pennsylvania",118285,34,76781,1928,14977,1191,2153,388,5170,920
9700000US4202310,4202310,"Allegheny-Clarion Valley School District, Pennsylvania",5649,281,5506,275,64,52,0,15,76,48
9700000US4202340,4202340,"Altoona Area School District, Pennsylvania",59601,183,56396,378,1676,248,571,144,779,204
9700000US4202400,4202400,"Wissahickon School District, Pennsylvania",36898,46,29996,679,2568,572,3062,498,1108,380
9700000US4202440,4202440,"Ambridge Area School District, Pennsylvania",23728,117,21167,375,1403,286,239,119,797,292
9700000US4202480,4202480,"Antietam School District, Pennsylvania",7608,26,6718,301,345,218,209,165,232,145
9700000US4202490,4202490,"Annville-Cleona School District, Pennsylvania",12358,242,11728,288,186,137,125,108,150,78
9700000US4202550,4202550,"Apollo-Ridge School District, Pennsylvania",9511,235,9349,240,118,77,15,15,29,24
9700000US4202590,4202590,"Armstrong School District, Pennsylvania",43110,368,42224,390,353,94,50,27,326,80
9700000US4202670,4202670,"Athens Area School District, Pennsylvania",14344,290,14060,306,113,80,15,17,122,56
9700000US4202700,4202700,"Austin Area School District, Pennsylvania",1116,87,1091,86,0,10,0,10,2,3
9700000US4202760,4202760,"Avella Area School District, Pennsylvania",4175,172,4081,178,15,10,12,13,64,44
9700000US4202790,4202790,"Avon Grove School District, Pennsylvania",31054,384,28584,632,915,307,425,272,592,234
9700000US4202820,4202820,"Avonworth School District, Pennsylvania",10478,217,9864,249,235,86,126,80,208,117
9700000US4202850,4202850,"Pine-Richland School District, Pennsylvania",22949,21,21763,318,268,187,682,218,153,117
9700000US4202910,4202910,"Bald Eagle Area School District, Pennsylvania",13508,365,13376,358,25,24,24,20,55,36
9700000US4202970,4202970,"Baldwin-Whitehall School District, Pennsylvania",35746,96,32132,592,1453,445,1740,611,331,151
9700000US4203000,4203000,"Bangor Area School District, Pennsylvania",23011,351,22562,346,129,106,94,64,90,64
