GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Hispanic or Latino,Margin of Error; Total: - Hispanic or Latino
9700000US4200824,4200824,"Central Valley School District, Pennsylvania",18110,130,201,127
9700000US4202010,4202010,"Abington Heights School District, Pennsylvania",23415,457,336,136
9700000US4202040,4202040,"Abington School District, Pennsylvania",57980,58,2240,565
9700000US4202100,4202100,"Albert Gallatin Area School District, Pennsylvania",23531,449,196,99
9700000US4202130,4202130,"Aliquippa School District, Pennsylvania",9415,34,80,54
9700000US4202190,4202190,"Allegheny Valley School District, Pennsylvania",9709,134,52,46
9700000US4202280,4202280,"Allentown City School District, Pennsylvania",118285,34,51349,954
9700000US4202310,4202310,"Allegheny-Clarion Valley School District, Pennsylvania",5649,281,11,14
9700000US4202340,4202340,"Altoona Area School District, Pennsylvania",59601,183,723,152
9700000US4202400,4202400,"Wissahickon School District, Pennsylvania",36898,46,1471,429
9700000US4202440,4202440,"Ambridge Area School District, Pennsylvania",23728,117,514,193
9700000US4202480,4202480,"Antietam School District, Pennsylvania",7608,26,811,287
9700000US4202490,4202490,"Annville-Cleona School District, Pennsylvania",12358,242,375,168
9700000US4202550,4202550,"Apollo-Ridge School District, Pennsylvania",9511,235,18,26
9700000US4202590,4202590,"Armstrong School District, Pennsylvania",43110,368,309,70
9700000US4202670,4202670,"Athens Area School District, Pennsylvania",14344,290,160,95
9700000US4202700,4202700,"Austin Area School District, Pennsylvania",1116,87,21,16
9700000US4202760,4202760,"Avella Area School District, Pennsylvania",4175,172,23,16
9700000US4202790,4202790,"Avon Grove School District, Pennsylvania",31054,384,4513,703
9700000US4202820,4202820,"Avonworth School District, Pennsylvania",10478,217,94,61
9700000US4202850,4202850,"Pine-Richland School District, Pennsylvania",22949,21,437,173
9700000US4202910,4202910,"Bald Eagle Area School District, Pennsylvania",13508,365,160,176
9700000US4202970,4202970,"Baldwin-Whitehall School District, Pennsylvania",35746,96,308,175
9700000US4203000,4203000,"Bangor Area School District, Pennsylvania",23011,351,648,236
9700000US4203120,4203120,"Beaver Area School District, Pennsylvania",14869,137,168,96
9700000US4203180,4203180,"Bedford Area School District, Pennsylvania",16627,298,217,72
9700000US4203210,4203210,"Belle Vernon Area School District, Pennsylvania",18677,291,144,80
9700000US4203240,4203240,"Bellefonte Area School District, Pennsylvania",25893,236,655,158
9700000US4203300,4203300,"Bellwood-Antis School District, Pennsylvania",8429,137,38,48
9700000US4203330,4203330,"Bensalem Township School District, Pennsylvania",60429,72,4046,631
9700000US4203360,4203360,"Bentworth School District, Pennsylvania",8269,242,76,40
9700000US4203390,4203390,"Benton Area School District, Pennsylvania",4960,234,15,12
9700000US4203420,4203420,"Berlin Brothersvalley School District, Pennsylvania",5447,226,49,43
9700000US4203450,4203450,"Bermudian Springs School District, Pennsylvania",13009,277,948,273
9700000US4203480,4203480,"Berwick Area School District, Pennsylvania",22579,301,816,244
9700000US4203510,4203510,"Bethel Park School District, Pennsylvania",32994,198,281,113
9700000US4203570,4203570,"Bethlehem Area School District, Pennsylvania",117062,51,22911,1032
9700000US4203600,4203600,"Bethlehem-Center School District, Pennsylvania",8723,294,53,39
9700000US4203630,4203630,"Big Beaver Falls Area School District, Pennsylvania",13608,219,131,67
9700000US4203660,4203660,"Big Spring School District, Pennsylvania",20916,299,307,119
9700000US4203688,4203688,"Blackhawk School District, Pennsylvania",17971,242,199,98
