GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC03_EST_VC35,HC03_MOE_VC35
Id,Id2,Geography,Total; Estimate; SUMMARY INDICATORS - Median age (years),Total; Margin of Error; SUMMARY INDICATORS - Median age (years),Male; Estimate; SUMMARY INDICATORS - Median age (years),Male; Margin of Error; SUMMARY INDICATORS - Median age (years),Female; Estimate; SUMMARY INDICATORS - Median age (years),Female; Margin of Error; SUMMARY INDICATORS - Median age (years)
9700000US4200824,4200824,"Central Valley School District, Pennsylvania",44.5,2.0,42.4,2.5,45.8,1.6
9700000US4202010,4202010,"Abington Heights School District, Pennsylvania",43.8,1.4,43.2,1.6,45.0,2.1
9700000US4202040,4202040,"Abington School District, Pennsylvania",42.8,0.8,41.0,0.8,44.6,1.0
9700000US4202100,4202100,"Albert Gallatin Area School District, Pennsylvania",41.3,1.9,39.2,1.9,43.5,2.3
9700000US4202130,4202130,"Aliquippa School District, Pennsylvania",42.5,2.8,40.5,3.3,43.8,4.1
9700000US4202190,4202190,"Allegheny Valley School District, Pennsylvania",50.1,2.3,47.8,2.9,51.0,1.6
9700000US4202280,4202280,"Allentown City School District, Pennsylvania",32.4,0.5,31.2,0.7,33.6,0.8
9700000US4202310,4202310,"Allegheny-Clarion Valley School District, Pennsylvania",45.4,1.5,44.9,2.1,46.1,1.6
9700000US4202340,4202340,"Altoona Area School District, Pennsylvania",39.8,0.8,37.9,1.0,42.2,1.2
9700000US4202400,4202400,"Wissahickon School District, Pennsylvania",44.4,1.0,41.7,1.2,47.3,1.8
9700000US4202440,4202440,"Ambridge Area School District, Pennsylvania",44.6,1.2,42.8,2.3,45.9,1.3
9700000US4202480,4202480,"Antietam School District, Pennsylvania",37.9,2.7,36.9,2.9,39.3,3.0
9700000US4202490,4202490,"Annville-Cleona School District, Pennsylvania",38.1,2.0,36.9,2.8,39.5,3.4
9700000US4202550,4202550,"Apollo-Ridge School District, Pennsylvania",42.5,1.7,41.7,1.5,44.1,2.4
9700000US4202590,4202590,"Armstrong School District, Pennsylvania",44.7,0.6,43.0,0.9,45.9,0.6
9700000US4202670,4202670,"Athens Area School District, Pennsylvania",44.8,1.5,44.3,1.9,45.3,2.0
9700000US4202700,4202700,"Austin Area School District, Pennsylvania",47.8,1.5,47.8,1.8,47.7,2.3
9700000US4202760,4202760,"Avella Area School District, Pennsylvania",45.4,0.8,44.3,4.5,46.2,2.0
9700000US4202790,4202790,"Avon Grove School District, Pennsylvania",37.6,1.3,37.1,1.4,38.2,2.4
