GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03
Id,Id2,Geography,Total; Estimate; Speak only English,Total; Margin of Error; Speak only English,"Percent of specified language speakers  - Speak English ""very well""; Estimate; Speak only English","Percent of specified language speakers  - Speak English ""very well""; Margin of Error; Speak only English","Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; Speak only English","Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; Speak only English",Total; Estimate; Speak a language other than English,Total; Margin of Error; Speak a language other than English,"Percent of specified language speakers  - Speak English ""very well""; Estimate; Speak a language other than English","Percent of specified language speakers  - Speak English ""very well""; Margin of Error; Speak a language other than English","Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; Speak a language other than English","Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; Speak a language other than English"
9700000US4200824,4200824,"Central Valley School District, Pennsylvania",95.3,1.4,(X),(X),(X),(X),4.7,1.4,79.9,9.5,20.1,9.5
9700000US4202010,4202010,"Abington Heights School District, Pennsylvania",93.7,1.7,(X),(X),(X),(X),6.3,1.7,76.6,8.0,23.4,8.0
9700000US4202040,4202040,"Abington School District, Pennsylvania",88.1,1.1,(X),(X),(X),(X),11.9,1.1,64.1,4.2,35.9,4.2
9700000US4202100,4202100,"Albert Gallatin Area School District, Pennsylvania",98.4,0.6,(X),(X),(X),(X),1.6,0.6,91.1,8.9,8.9,8.9
9700000US4202130,4202130,"Aliquippa School District, Pennsylvania",91.5,1.9,(X),(X),(X),(X),8.5,1.9,56.4,13.9,43.6,13.9
9700000US4202190,4202190,"Allegheny Valley School District, Pennsylvania",96.5,1.1,(X),(X),(X),(X),3.5,1.1,72.4,13.3,27.6,13.3
9700000US4202280,4202280,"Allentown City School District, Pennsylvania",59.4,1.3,(X),(X),(X),(X),40.6,1.3,57.3,2.2,42.7,2.2
9700000US4202310,4202310,"Allegheny-Clarion Valley School District, Pennsylvania",97.0,1.9,(X),(X),(X),(X),3.0,1.9,71.3,8.3,28.7,8.3
9700000US4202340,4202340,"Altoona Area School District, Pennsylvania",97.0,0.4,(X),(X),(X),(X),3.0,0.4,79.3,5.3,20.7,5.3
9700000US4202400,4202400,"Wissahickon School District, Pennsylvania",86.9,1.7,(X),(X),(X),(X),13.1,1.7,64.9,5.5,35.1,5.5
9700000US4202440,4202440,"Ambridge Area School District, Pennsylvania",96.1,0.9,(X),(X),(X),(X),3.9,0.9,67.5,12.6,32.5,12.6
9700000US4202480,4202480,"Antietam School District, Pennsylvania",88.3,3.4,(X),(X),(X),(X),11.7,3.4,69.6,13.3,30.4,13.3
9700000US4202490,4202490,"Annville-Cleona School District, Pennsylvania",96.4,1.2,(X),(X),(X),(X),3.6,1.2,68.0,12.2,32.0,12.2
9700000US4202550,4202550,"Apollo-Ridge School District, Pennsylvania",99.1,0.3,(X),(X),(X),(X),0.9,0.3,91.3,9.5,8.8,9.5
9700000US4202590,4202590,"Armstrong School District, Pennsylvania",96.5,0.6,(X),(X),(X),(X),3.5,0.6,60.4,6.5,39.6,6.5
9700000US4202670,4202670,"Athens Area School District, Pennsylvania",97.6,0.9,(X),(X),(X),(X),2.4,0.9,73.2,13.4,26.8,13.4
9700000US4202700,4202700,"Austin Area School District, Pennsylvania",99.3,0.5,(X),(X),(X),(X),0.7,0.5,71.4,34.7,28.6,34.7
