GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median contract rent,Margin of Error; Median contract rent
9700000US4200824,4200824,"Central Valley School District, Pennsylvania",537,44
9700000US4202010,4202010,"Abington Heights School District, Pennsylvania",661,65
9700000US4202040,4202040,"Abington School District, Pennsylvania",937,35
9700000US4202100,4202100,"Albert Gallatin Area School District, Pennsylvania",439,21
9700000US4202130,4202130,"Aliquippa School District, Pennsylvania",376,39
9700000US4202190,4202190,"Allegheny Valley School District, Pennsylvania",519,28
9700000US4202280,4202280,"Allentown City School District, Pennsylvania",739,13
9700000US4202310,4202310,"Allegheny-Clarion Valley School District, Pennsylvania",414,33
9700000US4202340,4202340,"Altoona Area School District, Pennsylvania",446,11
9700000US4202400,4202400,"Wissahickon School District, Pennsylvania",1355,56
9700000US4202440,4202440,"Ambridge Area School District, Pennsylvania",459,23
9700000US4202480,4202480,"Antietam School District, Pennsylvania",692,77
9700000US4202490,4202490,"Annville-Cleona School District, Pennsylvania",627,61
9700000US4202550,4202550,"Apollo-Ridge School District, Pennsylvania",441,32
9700000US4202590,4202590,"Armstrong School District, Pennsylvania",435,19
9700000US4202670,4202670,"Athens Area School District, Pennsylvania",518,37
9700000US4202700,4202700,"Austin Area School District, Pennsylvania",469,36
9700000US4202760,4202760,"Avella Area School District, Pennsylvania",474,27
9700000US4202790,4202790,"Avon Grove School District, Pennsylvania",903,86
9700000US4202820,4202820,"Avonworth School District, Pennsylvania",810,72
9700000US4202850,4202850,"Pine-Richland School District, Pennsylvania",1173,106
9700000US4202910,4202910,"Bald Eagle Area School District, Pennsylvania",515,26
9700000US4202970,4202970,"Baldwin-Whitehall School District, Pennsylvania",604,25
9700000US4203000,4203000,"Bangor Area School District, Pennsylvania",742,77
9700000US4203120,4203120,"Beaver Area School District, Pennsylvania",458,23
9700000US4203180,4203180,"Bedford Area School District, Pennsylvania",445,21
9700000US4203210,4203210,"Belle Vernon Area School District, Pennsylvania",447,27
9700000US4203240,4203240,"Bellefonte Area School District, Pennsylvania",639,33
9700000US4203300,4203300,"Bellwood-Antis School District, Pennsylvania",488,39
9700000US4203330,4203330,"Bensalem Township School District, Pennsylvania",944,15
9700000US4203360,4203360,"Bentworth School District, Pennsylvania",376,58
