GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01
Id,Id2,Geography,Total; Estimate; Population 16 years and over,Total; Margin of Error; Population 16 years and over,In labor force; Estimate; Population 16 years and over,In labor force; Margin of Error; Population 16 years and over,Employed; Estimate; Population 16 years and over,Employed; Margin of Error; Population 16 years and over,Unemployment rate; Estimate; Population 16 years and over,Unemployment rate; Margin of Error; Population 16 years and over
9700000US4200824,4200824,"Central Valley School District, Pennsylvania",14838,347,63.5,2.3,59.3,2.1,6.6,1.7
9700000US4202010,4202010,"Abington Heights School District, Pennsylvania",18621,507,65.4,2.0,62.6,1.9,4.3,0.9
9700000US4202040,4202040,"Abington School District, Pennsylvania",46809,409,68.3,1.3,63.1,1.4,7.6,0.9
9700000US4202100,4202100,"Albert Gallatin Area School District, Pennsylvania",19107,469,52.5,2.4,46.3,2.6,11.8,2.9
9700000US4202130,4202130,"Aliquippa School District, Pennsylvania",7564,240,54.6,3.6,48.5,3.8,11.3,3.0
9700000US4202190,4202190,"Allegheny Valley School District, Pennsylvania",8336,177,61.6,1.9,56.0,2.2,9.1,2.1
9700000US4202280,4202280,"Allentown City School District, Pennsylvania",89984,721,62.2,1.2,52.6,1.3,15.4,1.3
9700000US4202310,4202310,"Allegheny-Clarion Valley School District, Pennsylvania",4655,208,60.2,2.3,54.8,2.4,8.9,2.2
9700000US4202340,4202340,"Altoona Area School District, Pennsylvania",48285,426,58.4,1.3,53.1,1.3,9.0,1.2
9700000US4202400,4202400,"Wissahickon School District, Pennsylvania",30311,320,65.7,1.7,61.7,1.6,6.1,1.1
9700000US4202440,4202440,"Ambridge Area School District, Pennsylvania",19688,254,63.0,2.0,58.3,2.0,7.6,1.3
9700000US4202480,4202480,"Antietam School District, Pennsylvania",5943,177,70.0,2.9,64.0,3.2,8.6,3.0
9700000US4202490,4202490,"Annville-Cleona School District, Pennsylvania",10336,221,62.7,2.2,58.5,2.2,6.6,1.7
9700000US4202550,4202550,"Apollo-Ridge School District, Pennsylvania",7808,224,62.7,2.8,57.4,2.8,8.4,1.8
9700000US4202590,4202590,"Armstrong School District, Pennsylvania",35327,354,58.5,1.2,53.6,1.1,8.4,1.1
9700000US4202670,4202670,"Athens Area School District, Pennsylvania",11694,277,57.5,2.7,54.9,2.7,4.4,1.2
9700000US4202700,4202700,"Austin Area School District, Pennsylvania",928,74,50.9,3.4,45.0,3.6,11.4,3.4
9700000US4202760,4202760,"Avella Area School District, Pennsylvania",3458,128,62.9,2.1,57.3,2.3,9.0,1.9
9700000US4202790,4202790,"Avon Grove School District, Pennsylvania",23020,385,71.6,1.5,66.6,1.5,6.9,1.3
9700000US4202820,4202820,"Avonworth School District, Pennsylvania",8259,195,75.1,1.8,71.1,2.3,5.4,2.2
9700000US4202850,4202850,"Pine-Richland School District, Pennsylvania",17376,293,68.1,2.2,65.3,2.2,4.0,1.2
9700000US4202910,4202910,"Bald Eagle Area School District, Pennsylvania",11019,309,68.2,1.5,64.4,1.5,5.4,0.8
9700000US4202970,4202970,"Baldwin-Whitehall School District, Pennsylvania",29613,418,64.2,1.3,59.1,1.4,7.9,1.4
9700000US4203000,4203000,"Bangor Area School District, Pennsylvania",18800,482,65.0,1.9,58.9,2.2,9.4,1.8
9700000US4203120,4203120,"Beaver Area School District, Pennsylvania",12242,203,58.0,1.9,54.3,2.1,6.1,1.7
9700000US4203180,4203180,"Bedford Area School District, Pennsylvania",13735,275,56.7,1.8,52.8,1.8,6.8,1.4
9700000US4203210,4203210,"Belle Vernon Area School District, Pennsylvania",15732,360,57.8,2.3,53.3,2.3,7.6,1.9
9700000US4203240,4203240,"Bellefonte Area School District, Pennsylvania",21358,309,59.8,1.8,56.7,2.1,4.8,1.3
9700000US4203300,4203300,"Bellwood-Antis School District, Pennsylvania",6654,231,66.3,3.2,62.5,3.6,5.5,2.0
9700000US4203330,4203330,"Bensalem Township School District, Pennsylvania",49523,610,71.0,1.2,64.8,1.4,8.6,1.1
9700000US4203360,4203360,"Bentworth School District, Pennsylvania",6692,218,60.5,2.4,55.8,2.4,7.8,2.1
9700000US4203390,4203390,"Benton Area School District, Pennsylvania",4140,176,59.3,1.9,55.2,1.9,6.8,1.4
9700000US4203420,4203420,"Berlin Brothersvalley School District, Pennsylvania",4507,189,59.1,2.5,55.3,2.5,6.5,1.6
9700000US4203450,4203450,"Bermudian Springs School District, Pennsylvania",10526,282,68.4,2.3,63.6,2.6,6.3,1.5
9700000US4203480,4203480,"Berwick Area School District, Pennsylvania",18513,355,61.6,2.1,57.2,2.2,7.0,1.5
9700000US4203510,4203510,"Bethel Park School District, Pennsylvania",26851,306,65.7,1.6,61.7,1.7,6.0,1.1
9700000US4203570,4203570,"Bethlehem Area School District, Pennsylvania",96650,647,61.2,0.9,56.0,1.0,8.4,0.9
