GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01
Id,Id2,Geography,Total; Estimate; Total civilian noninstitutionalized population,Total; Margin of Error; Total civilian noninstitutionalized population,With a disability; Estimate; Total civilian noninstitutionalized population,With a disability; Margin of Error; Total civilian noninstitutionalized population,Percent with a disability; Estimate; Total civilian noninstitutionalized population,Percent with a disability; Margin of Error; Total civilian noninstitutionalized population
9700000US4200824,4200824,"Central Valley School District, Pennsylvania",18101,129,2382,263,13.2,1.4
9700000US4202010,4202010,"Abington Heights School District, Pennsylvania",23150,488,2176,224,9.4,1.0
9700000US4202040,4202040,"Abington School District, Pennsylvania",57341,154,6345,481,11.1,0.8
9700000US4202100,4202100,"Albert Gallatin Area School District, Pennsylvania",23516,450,5133,474,21.8,1.9
9700000US4202130,4202130,"Aliquippa School District, Pennsylvania",9267,113,1773,304,19.1,3.3
9700000US4202190,4202190,"Allegheny Valley School District, Pennsylvania",9520,165,1556,174,16.3,1.8
9700000US4202280,4202280,"Allentown City School District, Pennsylvania",116308,269,19921,1187,17.1,1.0
9700000US4202310,4202310,"Allegheny-Clarion Valley School District, Pennsylvania",5593,282,954,96,17.1,1.6
9700000US4202340,4202340,"Altoona Area School District, Pennsylvania",59172,206,9894,544,16.7,0.9
9700000US4202400,4202400,"Wissahickon School District, Pennsylvania",36295,178,3688,323,10.2,0.9
9700000US4202440,4202440,"Ambridge Area School District, Pennsylvania",23617,159,4120,377,17.4,1.6
9700000US4202480,4202480,"Antietam School District, Pennsylvania",7608,26,906,192,11.9,2.5
9700000US4202490,4202490,"Annville-Cleona School District, Pennsylvania",12197,257,968,144,7.9,1.2
9700000US4202550,4202550,"Apollo-Ridge School District, Pennsylvania",9502,234,1670,220,17.6,2.3
9700000US4202590,4202590,"Armstrong School District, Pennsylvania",42727,374,8201,521,19.2,1.2
