GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC05_EST_VC01,HC05_MOE_VC01
Id,Id2,Geography,Total; Estimate; Total civilian noninstitutionalized population,Total; Margin of Error; Total civilian noninstitutionalized population,Number Uninsured; Estimate; Total civilian noninstitutionalized population,Number Uninsured; Margin of Error; Total civilian noninstitutionalized population,Percent Uninsured; Estimate; Total civilian noninstitutionalized population,Percent Uninsured; Margin of Error; Total civilian noninstitutionalized population,Number Insured by  Coverage Type; Estimate; Total civilian noninstitutionalized population,Number Insured by  Coverage Type; Margin of Error; Total civilian noninstitutionalized population,Percent Insured by  Coverage Type; Estimate; Total civilian noninstitutionalized population,Percent Insured by  Coverage Type; Margin of Error; Total civilian noninstitutionalized population
9700000US4200824,4200824,"Central Valley School District, Pennsylvania",18101,129,1150,279,6.4,1.5,16951,319,93.6,1.5
9700000US4202010,4202010,"Abington Heights School District, Pennsylvania",23150,488,936,290,4.0,1.2,22214,519,96.0,1.2
9700000US4202040,4202040,"Abington School District, Pennsylvania",57341,154,4253,578,7.4,1.0,53088,616,92.6,1.0
9700000US4202100,4202100,"Albert Gallatin Area School District, Pennsylvania",23516,450,3044,452,12.9,1.9,20472,549,87.1,1.9
9700000US4202130,4202130,"Aliquippa School District, Pennsylvania",9267,113,999,218,10.8,2.3,8268,239,89.2,2.3
9700000US4202190,4202190,"Allegheny Valley School District, Pennsylvania",9520,165,931,188,9.8,1.9,8589,225,90.2,1.9
9700000US4202280,4202280,"Allentown City School District, Pennsylvania",116308,269,21322,1214,18.3,1.0,94986,1212,81.7,1.0
9700000US4202310,4202310,"Allegheny-Clarion Valley School District, Pennsylvania",5593,282,735,155,13.1,2.5,4858,239,86.9,2.5
9700000US4202340,4202340,"Altoona Area School District, Pennsylvania",59172,206,6649,711,11.2,1.2,52523,758,88.8,1.2
9700000US4202400,4202400,"Wissahickon School District, Pennsylvania",36295,178,2306,417,6.4,1.1,33989,412,93.6,1.1
9700000US4202440,4202440,"Ambridge Area School District, Pennsylvania",23617,159,1748,294,7.4,1.2,21869,314,92.6,1.2
9700000US4202480,4202480,"Antietam School District, Pennsylvania",7608,26,719,272,9.5,3.6,6889,271,90.5,3.6
9700000US4202490,4202490,"Annville-Cleona School District, Pennsylvania",12197,257,1036,197,8.5,1.6,11161,322,91.5,1.6
9700000US4202550,4202550,"Apollo-Ridge School District, Pennsylvania",9502,234,1378,246,14.5,2.5,8124,293,85.5,2.5
9700000US4202590,4202590,"Armstrong School District, Pennsylvania",42727,374,4331,406,10.1,0.9,38396,515,89.9,0.9
9700000US4202670,4202670,"Athens Area School District, Pennsylvania",14166,288,1393,223,9.8,1.5,12773,329,90.2,1.5
9700000US4202700,4202700,"Austin Area School District, Pennsylvania",1116,87,134,31,12.0,2.6,982,83,88.0,2.6
9700000US4202760,4202760,"Avella Area School District, Pennsylvania",4175,172,277,57,6.6,1.4,3898,186,93.4,1.4
9700000US4202790,4202790,"Avon Grove School District, Pennsylvania",30928,396,3220,562,10.4,1.8,27708,649,89.6,1.8
9700000US4202820,4202820,"Avonworth School District, Pennsylvania",10334,212,545,124,5.3,1.2,9789,236,94.7,1.2
9700000US4202850,4202850,"Pine-Richland School District, Pennsylvania",22755,83,743,235,3.3,1.0,22012,253,96.7,1.0
9700000US4202910,4202910,"Bald Eagle Area School District, Pennsylvania",13479,364,1296,174,9.6,1.2,12183,353,90.4,1.2
9700000US4202970,4202970,"Baldwin-Whitehall School District, Pennsylvania",35376,121,2146,415,6.1,1.2,33230,457,93.9,1.2
9700000US4203000,4203000,"Bangor Area School District, Pennsylvania",22897,349,2403,431,10.5,1.9,20494,578,89.5,1.9
9700000US4203120,4203120,"Beaver Area School District, Pennsylvania",14328,158,598,164,4.2,1.1,13730,240,95.8,1.1
9700000US4203180,4203180,"Bedford Area School District, Pennsylvania",16120,323,1723,318,10.7,1.9,14397,379,89.3,1.9
9700000US4203210,4203210,"Belle Vernon Area School District, Pennsylvania",18609,298,1469,277,7.9,1.5,17140,394,92.1,1.5
9700000US4203240,4203240,"Bellefonte Area School District, Pennsylvania",23511,318,2047,395,8.7,1.7,21464,498,91.3,1.7
9700000US4203300,4203300,"Bellwood-Antis School District, Pennsylvania",8349,141,586,252,7.0,3.0,7763,289,93.0,3.0
9700000US4203330,4203330,"Bensalem Township School District, Pennsylvania",60274,130,5677,725,9.4,1.2,54597,701,90.6,1.2
9700000US4203360,4203360,"Bentworth School District, Pennsylvania",8240,242,657,147,8.0,1.8,7583,266,92.0,1.8
9700000US4203390,4203390,"Benton Area School District, Pennsylvania",4960,234,352,73,7.1,1.4,4608,234,92.9,1.4
9700000US4203420,4203420,"Berlin Brothersvalley School District, Pennsylvania",5312,217,457,115,8.6,2.1,4855,226,91.4,2.1
9700000US4203450,4203450,"Bermudian Springs School District, Pennsylvania",12945,274,1175,248,9.1,1.9,11770,310,90.9,1.9
9700000US4203480,4203480,"Berwick Area School District, Pennsylvania",22326,307,2170,343,9.7,1.5,20156,382,90.3,1.5
9700000US4203510,4203510,"Bethel Park School District, Pennsylvania",32749,204,1297,262,4.0,0.8,31452,293,96.0,0.8
9700000US4203570,4203570,"Bethlehem Area School District, Pennsylvania",115533,298,11206,856,9.7,0.7,104327,898,90.3,0.7
9700000US4203600,4203600,"Bethlehem-Center School District, Pennsylvania",8712,296,758,159,8.7,1.7,7954,278,91.3,1.7
