GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Occupied,Margin of Error; Total: - Occupied,Estimate; Total: - Vacant,Margin of Error; Total: - Vacant
9700000US4200824,4200824,"Central Valley School District, Pennsylvania",7906,213,7366,229,540,172
9700000US4202010,4202010,"Abington Heights School District, Pennsylvania",9654,282,9099,279,555,182
9700000US4202040,4202040,"Abington School District, Pennsylvania",23172,388,22049,361,1123,267
9700000US4202100,4202100,"Albert Gallatin Area School District, Pennsylvania",10269,388,9083,365,1186,238
9700000US4202130,4202130,"Aliquippa School District, Pennsylvania",5471,260,4189,186,1282,181
9700000US4202190,4202190,"Allegheny Valley School District, Pennsylvania",5050,168,4544,144,506,132
9700000US4202280,4202280,"Allentown City School District, Pennsylvania",46896,697,41823,793,5073,544
9700000US4202310,4202310,"Allegheny-Clarion Valley School District, Pennsylvania",3193,107,2357,102,836,94
9700000US4202340,4202340,"Altoona Area School District, Pennsylvania",26707,407,24211,451,2496,330
9700000US4202400,4202400,"Wissahickon School District, Pennsylvania",15217,359,14558,315,659,200
9700000US4202440,4202440,"Ambridge Area School District, Pennsylvania",11286,277,10264,289,1022,223
9700000US4202480,4202480,"Antietam School District, Pennsylvania",3300,136,3059,122,241,101
9700000US4202490,4202490,"Annville-Cleona School District, Pennsylvania",4551,181,4316,166,235,101
9700000US4202550,4202550,"Apollo-Ridge School District, Pennsylvania",4395,155,3983,150,412,104
9700000US4202590,4202590,"Armstrong School District, Pennsylvania",19976,247,17741,317,2235,269
9700000US4202670,4202670,"Athens Area School District, Pennsylvania",6626,194,5602,182,1024,176
9700000US4202700,4202700,"Austin Area School District, Pennsylvania",1866,59,476,38,1390,59
9700000US4202760,4202760,"Avella Area School District, Pennsylvania",1787,62,1604,68,183,40
9700000US4202790,4202790,"Avon Grove School District, Pennsylvania",10720,275,10362,259,358,126
9700000US4202820,4202820,"Avonworth School District, Pennsylvania",4472,132,4137,130,335,113
9700000US4202850,4202850,"Pine-Richland School District, Pennsylvania",8471,252,7977,236,494,179
9700000US4202910,4202910,"Bald Eagle Area School District, Pennsylvania",6194,180,5297,188,897,122
9700000US4202970,4202970,"Baldwin-Whitehall School District, Pennsylvania",16194,326,15432,294,762,225
9700000US4203000,4203000,"Bangor Area School District, Pennsylvania",9785,313,8924,286,861,229
9700000US4203120,4203120,"Beaver Area School District, Pennsylvania",6580,183,6236,181,344,118
9700000US4203180,4203180,"Bedford Area School District, Pennsylvania",8079,217,6937,165,1142,188
9700000US4203210,4203210,"Belle Vernon Area School District, Pennsylvania",8522,258,7607,241,915,204
9700000US4203240,4203240,"Bellefonte Area School District, Pennsylvania",10540,313,9861,287,679,237
9700000US4203300,4203300,"Bellwood-Antis School District, Pennsylvania",3567,214,3264,171,303,143
9700000US4203330,4203330,"Bensalem Township School District, Pennsylvania",25996,625,23186,486,2810,399
9700000US4203360,4203360,"Bentworth School District, Pennsylvania",3772,151,3430,124,342,90
9700000US4203390,4203390,"Benton Area School District, Pennsylvania",2809,83,2042,90,767,84
9700000US4203420,4203420,"Berlin Brothersvalley School District, Pennsylvania",2702,71,2176,81,526,63
9700000US4203450,4203450,"Bermudian Springs School District, Pennsylvania",5307,192,4929,156,378,140
9700000US4203480,4203480,"Berwick Area School District, Pennsylvania",10224,310,9364,287,860,206
9700000US4203510,4203510,"Bethel Park School District, Pennsylvania",14111,283,13403,272,708,191
9700000US4203570,4203570,"Bethlehem Area School District, Pennsylvania",48102,650,45173,618,2929,428
9700000US4203600,4203600,"Bethlehem-Center School District, Pennsylvania",4084,185,3529,181,555,127
9700000US4203630,4203630,"Big Beaver Falls Area School District, Pennsylvania",6419,286,5388,231,1031,174
9700000US4203660,4203660,"Big Spring School District, Pennsylvania",8702,236,8173,238,529,124
9700000US4203688,4203688,"Blackhawk School District, Pennsylvania",7846,211,7302,221,544,139
9700000US4203690,4203690,"Blacklick Valley School District, Pennsylvania",2413,105,2217,99,196,67
9700000US4203750,4203750,"Blairsville-Saltsburg School District, Pennsylvania",6460,222,5664,185,796,160
9700000US4203840,4203840,"Bloomsburg Area School District, Pennsylvania",7689,330,6990,334,699,155
9700000US4203870,4203870,"Blue Mountain School District, Pennsylvania",9019,225,8396,245,623,159
9700000US4203900,4203900,"Blue Ridge School District, Pennsylvania",4188,107,3222,107,966,114
9700000US4203960,4203960,"Boyertown Area School District, Pennsylvania",18250,415,17513,333,737,227
9700000US4204020,4204020,"Bradford Area School District, Pennsylvania",9277,211,8094,230,1183,192
9700000US4204050,4204050,"Brandywine Heights Area School District, Pennsylvania",5366,206,5158,200,208,110
9700000US4204080,4204080,"Brownsville Area School District, Pennsylvania",6704,340,5579,293,1125,268
9700000US4204090,4204090,"Bryn Athyn School District, Pennsylvania",495,26,454,38,41,36
9700000US4204140,4204140,"Brentwood Borough School District, Pennsylvania",4852,231,4441,165,411,181
9700000US4204200,4204200,"Bristol Borough School District, Pennsylvania",4245,249,3842,221,403,141
9700000US4204230,4204230,"Bristol Township School District, Pennsylvania",21919,517,19705,485,2214,318
9700000US4204260,4204260,"Brockway Area School District, Pennsylvania",3596,108,3043,112,553,81
9700000US4204320,4204320,"Brookville Area School District, Pennsylvania",6825,158,4953,140,1872,118
9700000US4204500,4204500,"Burgettstown Area School District, Pennsylvania",4535,185,4032,129,503,144
9700000US4204530,4204530,"Burrell School District, Pennsylvania",6361,288,5935,228,426,172
9700000US4204590,4204590,"Butler Area School District, Pennsylvania",24785,394,22937,359,1848,305
9700000US4204710,4204710,"California Area School District, Pennsylvania",5144,307,4319,273,825,175
9700000US4204740,4204740,"Cambria Heights School District, Pennsylvania",4399,96,3955,130,444,91
9700000US4204830,4204830,"Cameron County School District, Pennsylvania",4420,43,2144,90,2276,77
9700000US4204860,4204860,"Camp Hill School District, Pennsylvania",3581,133,3435,114,146,96
9700000US4204890,4204890,"Canon-McMillan School District, Pennsylvania",15307,352,13930,253,1377,337
9700000US4204920,4204920,"Canton Area School District, Pennsylvania",3110,115,2508,120,602,81
9700000US4204980,4204980,"Carbondale Area School District, Pennsylvania",5408,256,4700,238,708,170
9700000US4205010,4205010,"Carlisle Area School District, Pennsylvania",15586,442,14401,443,1185,279
9700000US4205040,4205040,"Carlynton School District, Pennsylvania",7499,276,6798,188,701,198
9700000US4205070,4205070,"Carmichaels Area School District, Pennsylvania",3348,201,3014,157,334,150
9700000US4205160,4205160,"Catasauqua Area School District, Pennsylvania",4904,223,4537,202,367,184
9700000US4205190,4205190,"Centennial School District, Pennsylvania",19159,393,18494,381,665,219
9700000US4205310,4205310,"Central Bucks School District, Pennsylvania",42146,591,40288,566,1858,339
9700000US4205340,4205340,"Central Cambria School District, Pennsylvania",5791,232,5340,206,451,165
