GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
9700000US4200824,4200824,"Central Valley School District, Pennsylvania",7366,229,5614,254,1752,211
9700000US4202010,4202010,"Abington Heights School District, Pennsylvania",9099,279,7464,248,1635,203
9700000US4202040,4202040,"Abington School District, Pennsylvania",22049,361,17398,433,4651,358
9700000US4202100,4202100,"Albert Gallatin Area School District, Pennsylvania",9083,365,6932,384,2151,257
9700000US4202130,4202130,"Aliquippa School District, Pennsylvania",4189,186,2477,194,1712,201
9700000US4202190,4202190,"Allegheny Valley School District, Pennsylvania",4544,144,3436,160,1108,152
9700000US4202280,4202280,"Allentown City School District, Pennsylvania",41823,793,20149,638,21674,671
9700000US4202310,4202310,"Allegheny-Clarion Valley School District, Pennsylvania",2357,102,1818,106,539,78
9700000US4202340,4202340,"Altoona Area School District, Pennsylvania",24211,451,16958,386,7253,382
9700000US4202400,4202400,"Wissahickon School District, Pennsylvania",14558,315,10588,316,3970,315
9700000US4202440,4202440,"Ambridge Area School District, Pennsylvania",10264,289,7302,325,2962,290
9700000US4202480,4202480,"Antietam School District, Pennsylvania",3059,122,2166,155,893,141
9700000US4202490,4202490,"Annville-Cleona School District, Pennsylvania",4316,166,3335,146,981,125
9700000US4202550,4202550,"Apollo-Ridge School District, Pennsylvania",3983,150,3169,142,814,125
9700000US4202590,4202590,"Armstrong School District, Pennsylvania",17741,317,13339,355,4402,396
9700000US4202670,4202670,"Athens Area School District, Pennsylvania",5602,182,4482,221,1120,130
9700000US4202700,4202700,"Austin Area School District, Pennsylvania",476,38,393,37,83,19
9700000US4202760,4202760,"Avella Area School District, Pennsylvania",1604,68,1366,74,238,41
9700000US4202790,4202790,"Avon Grove School District, Pennsylvania",10362,259,8737,278,1625,207
9700000US4202820,4202820,"Avonworth School District, Pennsylvania",4137,130,3183,143,954,120
9700000US4202850,4202850,"Pine-Richland School District, Pennsylvania",7977,236,6973,202,1004,194
9700000US4202910,4202910,"Bald Eagle Area School District, Pennsylvania",5297,188,4358,149,939,126
9700000US4202970,4202970,"Baldwin-Whitehall School District, Pennsylvania",15432,294,11797,357,3635,310
9700000US4203000,4203000,"Bangor Area School District, Pennsylvania",8924,286,7019,310,1905,263
9700000US4203120,4203120,"Beaver Area School District, Pennsylvania",6236,181,4400,187,1836,176
9700000US4203180,4203180,"Bedford Area School District, Pennsylvania",6937,165,5259,186,1678,188
9700000US4203210,4203210,"Belle Vernon Area School District, Pennsylvania",7607,241,6121,271,1486,209
9700000US4203240,4203240,"Bellefonte Area School District, Pennsylvania",9861,287,7330,290,2531,263
9700000US4203300,4203300,"Bellwood-Antis School District, Pennsylvania",3264,171,2676,174,588,149
9700000US4203330,4203330,"Bensalem Township School District, Pennsylvania",23186,486,13980,438,9206,419
9700000US4203360,4203360,"Bentworth School District, Pennsylvania",3430,124,2588,133,842,100
9700000US4203390,4203390,"Benton Area School District, Pennsylvania",2042,90,1692,77,350,64
9700000US4203420,4203420,"Berlin Brothersvalley School District, Pennsylvania",2176,81,1685,97,491,89
9700000US4203450,4203450,"Bermudian Springs School District, Pennsylvania",4929,156,3946,205,983,148
9700000US4203480,4203480,"Berwick Area School District, Pennsylvania",9364,287,6355,336,3009,329
9700000US4203510,4203510,"Bethel Park School District, Pennsylvania",13403,272,10621,314,2782,225
9700000US4203570,4203570,"Bethlehem Area School District, Pennsylvania",45173,618,28254,612,16919,596
9700000US4203600,4203600,"Bethlehem-Center School District, Pennsylvania",3529,181,2900,193,629,117
9700000US4203630,4203630,"Big Beaver Falls Area School District, Pennsylvania",5388,231,3340,182,2048,226
9700000US4203660,4203660,"Big Spring School District, Pennsylvania",8173,238,6695,221,1478,196
9700000US4203688,4203688,"Blackhawk School District, Pennsylvania",7302,221,5902,277,1400,210
9700000US4203690,4203690,"Blacklick Valley School District, Pennsylvania",2217,99,1870,94,347,77
9700000US4203750,4203750,"Blairsville-Saltsburg School District, Pennsylvania",5664,185,4388,182,1276,131
9700000US4203840,4203840,"Bloomsburg Area School District, Pennsylvania",6990,334,3635,193,3355,317
9700000US4203870,4203870,"Blue Mountain School District, Pennsylvania",8396,245,7036,254,1360,185
9700000US4203900,4203900,"Blue Ridge School District, Pennsylvania",3222,107,2328,118,894,101
9700000US4203960,4203960,"Boyertown Area School District, Pennsylvania",17513,333,14611,380,2902,322
9700000US4204020,4204020,"Bradford Area School District, Pennsylvania",8094,230,5673,216,2421,215
9700000US4204050,4204050,"Brandywine Heights Area School District, Pennsylvania",5158,200,4228,234,930,174
9700000US4204080,4204080,"Brownsville Area School District, Pennsylvania",5579,293,4035,273,1544,272
9700000US4204090,4204090,"Bryn Athyn School District, Pennsylvania",454,38,270,39,184,38
9700000US4204140,4204140,"Brentwood Borough School District, Pennsylvania",4441,165,2689,219,1752,208
9700000US4204200,4204200,"Bristol Borough School District, Pennsylvania",3842,221,2206,203,1636,234
9700000US4204230,4204230,"Bristol Township School District, Pennsylvania",19705,485,15435,545,4270,349
9700000US4204260,4204260,"Brockway Area School District, Pennsylvania",3043,112,2319,96,724,88
9700000US4204320,4204320,"Brookville Area School District, Pennsylvania",4953,140,3799,142,1154,112
9700000US4204500,4204500,"Burgettstown Area School District, Pennsylvania",4032,129,3230,134,802,131
9700000US4204530,4204530,"Burrell School District, Pennsylvania",5935,228,4814,242,1121,175
9700000US4204590,4204590,"Butler Area School District, Pennsylvania",22937,359,16050,433,6887,365
9700000US4204710,4204710,"California Area School District, Pennsylvania",4319,273,2816,175,1503,214
9700000US4204740,4204740,"Cambria Heights School District, Pennsylvania",3955,130,3311,116,644,87
9700000US4204830,4204830,"Cameron County School District, Pennsylvania",2144,90,1533,88,611,82
9700000US4204860,4204860,"Camp Hill School District, Pennsylvania",3435,114,2451,147,984,125
9700000US4204890,4204890,"Canon-McMillan School District, Pennsylvania",13930,253,10760,358,3170,338
9700000US4204920,4204920,"Canton Area School District, Pennsylvania",2508,120,1722,117,786,88
9700000US4204980,4204980,"Carbondale Area School District, Pennsylvania",4700,238,2926,213,1774,206
9700000US4205010,4205010,"Carlisle Area School District, Pennsylvania",14401,443,9121,425,5280,371
9700000US4205040,4205040,"Carlynton School District, Pennsylvania",6798,188,3541,240,3257,212
9700000US4205070,4205070,"Carmichaels Area School District, Pennsylvania",3014,157,2184,207,830,189
9700000US4205160,4205160,"Catasauqua Area School District, Pennsylvania",4537,202,2654,241,1883,258
9700000US4205190,4205190,"Centennial School District, Pennsylvania",18494,381,13992,377,4502,252
9700000US4205310,4205310,"Central Bucks School District, Pennsylvania",40288,566,34154,622,6134,429
9700000US4205340,4205340,"Central Cambria School District, Pennsylvania",5340,206,4043,232,1297,206
9700000US4205370,4205370,"Central Columbia School District, Pennsylvania",6165,169,5116,207,1049,153
9700000US4205400,4205400,"Central Dauphin School District, Pennsylvania",36388,600,25173,579,11215,575
9700000US4205430,4205430,"Central Greene School District, Pennsylvania",5054,244,3246,233,1808,211
9700000US4205460,4205460,"Crestwood School District, Pennsylvania",7589,192,6728,210,861,141
9700000US4205490,4205490,"Central York School District, Pennsylvania",13366,293,10801,371,2565,285
9700000US4205550,4205550,"Chambersburg Area School District, Pennsylvania",26344,429,18578,569,7766,509
9700000US4205640,4205640,"Charleroi School District, Pennsylvania",5093,189,3719,158,1374,160
9700000US4205700,4205700,"Chartiers Valley School District, Pennsylvania",13857,386,9738,404,4119,316
9700000US4205730,4205730,"Chartiers-Houston School District, Pennsylvania",3647,159,3061,163,586,113
9700000US4205760,4205760,"Cheltenham Township School District, Pennsylvania",14492,378,9145,353,5347,317
9700000US4205860,4205860,"Chester-Upland School District, Pennsylvania",14329,426,5784,375,8545,417
9700000US4205880,4205880,"Chestnut Ridge School District, Pennsylvania",4387,194,3670,205,717,121
9700000US4205910,4205910,"Chichester School District, Pennsylvania",9164,283,6272,325,2892,250
9700000US4206030,4206030,"Clairton City School District, Pennsylvania",3216,187,1808,178,1408,183
9700000US4206060,4206060,"Clarion Area School District, Pennsylvania",3213,198,1849,131,1364,158
9700000US4206090,4206090,"Clarion-Limestone Area School District, Pennsylvania",3260,179,2128,150,1132,147
9700000US4206120,4206120,"Claysburg-Kimmel School District, Pennsylvania",2256,133,1708,155,548,123
9700000US4206150,4206150,"Clearfield Area School District, Pennsylvania",8191,263,5851,277,2340,218
9700000US4206240,4206240,"Coatesville Area School District, Pennsylvania",23497,559,17286,533,6211,475
9700000US4206270,4206270,"Cocalico School District, Pennsylvania",8309,230,6762,298,1547,223
9700000US4206360,4206360,"Columbia Borough School District, Pennsylvania",4079,136,2509,198,1570,177
9700000US4206390,4206390,"Commodore Perry School District, Pennsylvania",1661,71,1491,78,170,36
9700000US4206420,4206420,"Conemaugh Township Area School District, Pennsylvania",3449,155,2994,180,455,125
9700000US4206430,4206430,"Conemaugh Valley School District, Pennsylvania",2705,101,2290,87,415,71
9700000US4206480,4206480,"Conestoga Valley School District, Pennsylvania",11877,312,7702,361,4175,277
9700000US4206550,4206550,"Conewago Valley School District, Pennsylvania",10376,317,7933,343,2443,222
9700000US4206590,4206590,"Conneaut School District, Pennsylvania",7302,207,5998,204,1304,143
9700000US4206660,4206660,"Connellsville Area School District, Pennsylvania",14258,348,10841,356,3417,281
9700000US4206780,4206780,"Conrad Weiser Area School District, Pennsylvania",7216,211,5799,222,1417,173
9700000US4206810,4206810,"Cornell School District, Pennsylvania",3229,210,1553,123,1676,182
9700000US4206840,4206840,"Cornwall-Lebanon School District, Pennsylvania",13533,316,10933,366,2600,247
9700000US4206860,4206860,"Corry Area School District, Pennsylvania",5429,164,3867,193,1562,194
9700000US4206930,4206930,"Coudersport Area School District, Pennsylvania",2337,110,1736,124,601,83
9700000US4206960,4206960,"Council Rock School District, Pennsylvania",26012,365,23248,458,2764,374
9700000US4207050,4207050,"Cranberry Area School District, Pennsylvania",3979,166,3104,177,875,117
9700000US4207080,4207080,"Crawford Central School District, Pennsylvania",12833,326,8183,314,4650,378
9700000US4207110,4207110,"Cumberland Valley School District, Pennsylvania",22764,404,18610,489,4154,358
9700000US4207140,4207140,"Curwensville Area School District, Pennsylvania",2998,112,2425,109,573,84
9700000US4207200,4207200,"Dallas School District, Pennsylvania",7998,244,6239,270,1759,210
9700000US4207230,4207230,"Dallastown Area School District, Pennsylvania",16840,370,11975,453,4865,380
9700000US4207290,4207290,"Daniel Boone Area School District, Pennsylvania",7593,206,6347,253,1246,195
9700000US4207320,4207320,"Danville Area School District, Pennsylvania",7623,203,5625,234,1998,197
9700000US4207530,4207530,"Delaware Valley School District, Pennsylvania",10716,416,9041,388,1675,235
