GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied:,Margin of Error; Owner occupied:,Estimate; Owner occupied: - No vehicle available,Margin of Error; Owner occupied: - No vehicle available,Estimate; Renter occupied:,Margin of Error; Renter occupied:,Estimate; Renter occupied: - No vehicle available,Margin of Error; Renter occupied: - No vehicle available
9700000US4200824,4200824,"Central Valley School District, Pennsylvania",7366,229,5614,254,163,81,1752,211,237,69
9700000US4202010,4202010,"Abington Heights School District, Pennsylvania",9099,279,7464,248,114,50,1635,203,274,83
9700000US4202040,4202040,"Abington School District, Pennsylvania",22049,361,17398,433,500,115,4651,358,855,200
9700000US4202100,4202100,"Albert Gallatin Area School District, Pennsylvania",9083,365,6932,384,272,81,2151,257,367,131
9700000US4202130,4202130,"Aliquippa School District, Pennsylvania",4189,186,2477,194,242,83,1712,201,499,128
9700000US4202190,4202190,"Allegheny Valley School District, Pennsylvania",4544,144,3436,160,206,68,1108,152,200,65
9700000US4202280,4202280,"Allentown City School District, Pennsylvania",41823,793,20149,638,1062,168,21674,671,7470,554
9700000US4202310,4202310,"Allegheny-Clarion Valley School District, Pennsylvania",2357,102,1818,106,55,24,539,78,89,34
9700000US4202340,4202340,"Altoona Area School District, Pennsylvania",24211,451,16958,386,843,143,7253,382,2014,241
9700000US4202400,4202400,"Wissahickon School District, Pennsylvania",14558,315,10588,316,269,89,3970,315,834,169
9700000US4202440,4202440,"Ambridge Area School District, Pennsylvania",10264,289,7302,325,428,110,2962,290,842,169
9700000US4202480,4202480,"Antietam School District, Pennsylvania",3059,122,2166,155,38,30,893,141,149,86
9700000US4202490,4202490,"Annville-Cleona School District, Pennsylvania",4316,166,3335,146,85,40,981,125,105,51
9700000US4202550,4202550,"Apollo-Ridge School District, Pennsylvania",3983,150,3169,142,162,62,814,125,163,80
9700000US4202590,4202590,"Armstrong School District, Pennsylvania",17741,317,13339,355,587,99,4402,396,1190,238
9700000US4202670,4202670,"Athens Area School District, Pennsylvania",5602,182,4482,221,99,55,1120,130,205,71
9700000US4202700,4202700,"Austin Area School District, Pennsylvania",476,38,393,37,11,6,83,19,8,6
9700000US4202760,4202760,"Avella Area School District, Pennsylvania",1604,68,1366,74,40,18,238,41,19,16
9700000US4202790,4202790,"Avon Grove School District, Pennsylvania",10362,259,8737,278,88,52,1625,207,123,59
9700000US4202820,4202820,"Avonworth School District, Pennsylvania",4137,130,3183,143,81,39,954,120,51,32
9700000US4202850,4202850,"Pine-Richland School District, Pennsylvania",7977,236,6973,202,53,44,1004,194,207,76
9700000US4202910,4202910,"Bald Eagle Area School District, Pennsylvania",5297,188,4358,149,135,39,939,126,83,50
9700000US4202970,4202970,"Baldwin-Whitehall School District, Pennsylvania",15432,294,11797,357,326,90,3635,310,1074,212
9700000US4203000,4203000,"Bangor Area School District, Pennsylvania",8924,286,7019,310,250,106,1905,263,258,125
9700000US4203120,4203120,"Beaver Area School District, Pennsylvania",6236,181,4400,187,87,38,1836,176,308,88
9700000US4203180,4203180,"Bedford Area School District, Pennsylvania",6937,165,5259,186,235,78,1678,188,316,91
9700000US4203210,4203210,"Belle Vernon Area School District, Pennsylvania",7607,241,6121,271,142,56,1486,209,276,92
9700000US4203240,4203240,"Bellefonte Area School District, Pennsylvania",9861,287,7330,290,277,99,2531,263,532,191
9700000US4203300,4203300,"Bellwood-Antis School District, Pennsylvania",3264,171,2676,174,16,13,588,149,78,49
9700000US4203330,4203330,"Bensalem Township School District, Pennsylvania",23186,486,13980,438,324,101,9206,419,1142,218
9700000US4203360,4203360,"Bentworth School District, Pennsylvania",3430,124,2588,133,127,47,842,100,199,57
9700000US4203390,4203390,"Benton Area School District, Pennsylvania",2042,90,1692,77,32,15,350,64,33,20
9700000US4203420,4203420,"Berlin Brothersvalley School District, Pennsylvania",2176,81,1685,97,53,32,491,89,60,25
9700000US4203450,4203450,"Bermudian Springs School District, Pennsylvania",4929,156,3946,205,34,25,983,148,46,45
9700000US4203480,4203480,"Berwick Area School District, Pennsylvania",9364,287,6355,336,295,93,3009,329,556,146
9700000US4203510,4203510,"Bethel Park School District, Pennsylvania",13403,272,10621,314,237,84,2782,225,470,123
9700000US4203570,4203570,"Bethlehem Area School District, Pennsylvania",45173,618,28254,612,1046,214,16919,596,4112,448
9700000US4203600,4203600,"Bethlehem-Center School District, Pennsylvania",3529,181,2900,193,136,45,629,117,120,63
