"GeoID","ID_2","Name","Pop_Total","PopForPov","Below_Pov","Pov_Rate","PovUnder18","Pov_18to64","Pov_65Over","HH_Total","HH_SNAP","SNAP_Rate","MHI","PctWhite","PctAfrAm","PctAsian","PctMulti","PctHispLat","Median_Age","LangEngOnl","Lang_Other","MedianRent","Unemp_Rate","Pct_Disabl","Pct_Unins","HU_Total","HU_Occ","HU_Vacant","Pct_HU_Vac","Owner_Occ","Renter_Occ","Pct_Rent","HU_NoVeh","Pct_NoVeh"
"9700000US4200824",4200824,"Central Valley School District, Pennsylvania",18110,17905,1810,10.1,14.3,9.2,8.5,7366,697,9.4623947869,59857,94.2849254555,3.8542241855,0.4196576477,1.4356709001,1.109884042,44.5,95.3,4.7,537,6.6,13.2,6.4,7906,7366,540,6.8302555022,5614,1752,23.7849579147,400,5.4303556883
"9700000US4202010",4202010,"Abington Heights School District, Pennsylvania",23415,22594,822,3.6,3.2,3.6,4.3,9099,245,2.6926035828,72695,95.7591287636,0.4996796925,2.4855861627,0.9865470852,1.4349775785,43.8,93.7,6.3,661,4.3,9.4,4,9654,9099,555,5.7489123679,7464,1635,17.9690075833,388,4.2642048577
"9700000US4202040",4202040,"Abington School District, Pennsylvania",57980,57092,3652,6.4,6.7,6.1,7.3,22049,1008,4.5716359019,74527,79.958606416,12.3490858917,4.9913763367,2.0196619524,3.8634011728,42.8,88.1,11.9,937,7.6,11.1,7.4,23172,22049,1123,4.8463663042,17398,4651,21.0939271622,1355,6.1454034197
"9700000US4202100",4202100,"Albert Gallatin Area School District, Pennsylvania",23531,23273,5368,23.1,36.2,21.5,12.2,9083,1845,20.3126720247,37407,95.1893247206,2.5753261655,0,1.8656240704,0.8329437763,41.3,98.4,1.6,439,11.8,21.8,12.9,10269,9083,1186,11.5493232058,6932,2151,23.6816029946,639,7.0351205549
"9700000US4202130",4202130,"Aliquippa School District, Pennsylvania",9415,9267,1973,21.3,29,20.1,16.1,4189,1136,27.1186440678,34170,55.9851301115,40.2655337228,0.5098247477,3.1651619756,0.8497079129,42.5,91.5,8.5,376,11.3,19.1,10.8,5471,4189,1282,23.4326448547,2477,1712,40.8689424684,741,17.6891859632
"9700000US4202190",4202190,"Allegheny Valley School District, Pennsylvania",9709,9513,854,9,17,7.5,7.2,4544,453,9.9691901408,49534,97.0954784221,0.6282830364,0.8239777526,1.1844680194,0.5355855392,50.1,96.5,3.5,519,9.1,16.3,9.8,5050,4544,506,10.0198019802,3436,1108,24.3838028169,406,8.9348591549
"9700000US4202280",4202280,"Allentown City School District, Pennsylvania",118285,113031,31479,27.8,42.8,24.3,11,41823,10719,25.6294383473,35560,64.9118654098,12.6617914359,1.8201800736,4.3707993406,43.4112524834,32.4,59.4,40.6,739,15.4,17.1,18.3,46896,41823,5073,10.8175537359,20149,21674,51.8231595055,8532,20.4002582311
"9700000US4202310",4202310,"Allegheny-Clarion Valley School District, Pennsylvania",5649,5550,699,12.6,19.1,11.1,10.6,2357,301,12.7704709376,45128,97.4685785095,1.1329438839,0,1.3453708621,0.19472473,45.4,97,3,414,8.9,17.1,13.1,3193,2357,836,26.1822737238,1818,539,22.8680526092,144,6.1094611795
"9700000US4202340",4202340,"Altoona Area School District, Pennsylvania",59601,57942,10653,18.4,26,18.3,8.7,24211,5007,20.6806823345,38145,94.6225734468,2.8120333551,0.9580376168,1.3070250499,1.2130668949,39.8,97,3,446,9,16.7,11.2,26707,24211,2496,9.3458643801,16958,7253,29.9574573541,2857,11.8004212961
"9700000US4202400",4202400,"Wissahickon School District, Pennsylvania",36898,36096,1631,4.5,3.5,3.8,7.8,14558,298,2.0469844759,95865,81.2943790991,6.9597268145,8.2985527671,3.0028727844,3.986665944,44.4,86.9,13.1,1355,6.1,10.2,6.4,15217,14558,659,4.330682789,10588,3970,27.2702294271,1103,7.576590191
